shot_id1,player1,stroke_type1,spin_type1,shot_id2,player2,stroke_type2,spin_type2,dtw_distance
rafael_nadal_fh_ts_35,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,49.13601560270485
roger_federer_fh_ts_11,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,49.23163835314828
roger_federer_fh_ts_28,Roger Federer,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,49.33547428936165
rafael_nadal_fh_ts_82,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,49.51947983717207
rafael_nadal_fh_ts_09,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,49.719122786280515
rafael_nadal_fh_ts_23,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,49.965842350871014
rafael_nadal_fh_ts_12,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,50.17054569153567
rafael_nadal_fh_ts_72,Rafael Nadal,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,50.186587144308554
rafael_nadal_fh_ts_41,Rafael Nadal,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,50.39318151539814
rafael_nadal_fh_ts_43,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,50.93916942358153
rafael_nadal_fh_ts_76,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,51.06577947128813
rafael_nadal_fh_ts_85,Rafael Nadal,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,51.29875828399676
rafael_nadal_fh_ts_89,Rafael Nadal,Forehand,Topspin,rafael_nadal_fh_ts_07,Rafael Nadal,Forehand,Topspin,51.38498245363146
rafael_nadal_fh_ts_49,Rafael Nadal,Forehand,Topspin,roger_federer_fh_ts_02,Roger Federer,Forehand,Topspin,51.54315126946965
